Name,IGN_Rank,Main_Ft_Apperance,No_Feature_Films,Rating,Award_Wins,Nominations,Gender,Human/Other,Type
MADOK,100,Ant-Man and the Wasp:Quantumania,1,0.82,0,3,male,other,cyborg
Fin Fang Foom,99,The invincible iron man,1,0.46,0,2,other,other,alein
Mastermind,98,X-men:The animated series ,0,0.94,1,0,male,human,mutant
Violator,97,Spawn,1,0.36,2,6,male,other,demonic
Despero,96,Superman/Batman:Public Enemies ,1,0.66,0,0,male,other,alein
Omega Red,95,Hulk vs,2,0.67,0,0,male,human,mutant
Annihilus,94,Hulk and the Agents of S.M.A.S.H.: Doorway to Destruction,2,0.61,0,12,male,other,alein
Omni-Man,93,Invincible,0,0.89,5,11,male,other,alein
Parallax,92,Green Lantern,2,0.45,3,6,male,other,alein
The Adversary,91,Pinocchio,12,0.73,7,0,male,human,normal
Carnage,90,venom let there be carnage,1,0.84,0,6,male,other,symbiote
Shade,89,Justice league,0,0.96,0,11,male,human,mystic
Hunter Rose,88,,0,,,,male,human,normal
Electro,87,The amazing Spider-Man 2 ,1,0.64,4,30,male,human,mutate
The Govenor,86,The walking dead,0,0.78,84,236,male,human,normal
Mysterio,85,Spider-Man:Far From Home,1,0.95,11,26,male,human,normal
Doctor Light,84,JUSTICE LEAGUE: THE NEW FRONTIER,3,0.71,0,3,male,human,mutate
Grigori Rasputin,83,hellboy,2,0.66,3,23,male,other,mystic
Doctor Sivana,82,shazam,3,0.82,0,28,male,human,mutate
Mandarin,81,The invincible iron man,6,0.46,0,2,male,human,normal
Prometheus,80,smallville,0,0.69,0,0,male,human,mystic
Mirror Master,79,injustice,1,0.41,0,0,male,human,mutate
Lady Deathstrike,78,X2,2,0.69,6,41,female,other,mutant
Proteus,77,X-men:The animated series ,0,0.94,1,0,male,human,mutant
Mister Mxyzptlk,76,Teen titans go vs teen titans ,1,0.89,0,0,male,other,mystic
Magog,75,Young Justice,0,0.71,9,30,male,other,alein
Saint of Killers,74,Preacher,0,0.74,1,16,male,other,demonic
Clayface,73,Batman:Hush,6,0.7,2,1,male,human,mutate
